link_id,run_id,url,final_url,http_status,access_status,content_type,original_title,issuer,jurisdiction,topic,document_type,version,publication_date,effective_date,authority_status,authenticity_status,comparability,comparability_confidence,freshness_status,regulatory_status,regulatory_status_reason,replacement_required,recommended_replacement,replacement_authority,replacement_comparability,replacement_confidence,recheck_performed,initial_confidence,final_confidence,recommended_action,human_review_required,reason,evidence,checked_at,pdf_url,candidate_pdf_url,pdf_validation_status,pdf_magic_signature_verified
2b74e3ab1ff44d698dc24458d1c1de61_1,2b74e3ab1ff44d698dc24458d1c1de61,https://bahrainbourse.com/resources/files/Sustainability/ESG_11%20June%202020.pdf,https://bahrainbourse.com/resources/files/Sustainability/ESG_11%20June%202020.pdf,200,ACCESSIBLE,application/pdf,,,Bahrain,,PDF Regulation / Document,,11 June 2020,,EXCHANGE_FILING,LIKELY_AUTHENTIC,,0.0,UNKNOWN,UNKNOWN,No explicit regulatory freshness or obsolescence keywords found in sample.,NO,,,,0.0,NO,0.5,0.5,HUMAN_REVIEW_REQUIRED,YES,,"[""Direct PDF Verified: https://bahrainbourse.com/resources/files/Sustainability/ESG_11%20June%202020.pdf (Magic Bytes %PDF- verified: True)"", ""Universal Date Extracted: 11 June 2020 (Context: DOCUMENT_DATE, Normalized: 2020-06-11)""]",2026-09-18T12:27:49.213004+00:00,https://bahrainbourse.com/resources/files/Sustainability/ESG_11%20June%202020.pdf,,VALID_PDF,YES
2b74e3ab1ff44d698dc24458d1c1de61_2,2b74e3ab1ff44d698dc24458d1c1de61,https://english.sse.com.cn/news/newsrelease/c/c_20250905_10790690.shtml,https://english.sse.com.cn/news/newsrelease/c/c_20250905_10790690.shtml,200,ACCESSIBLE,text/html,,,China,,,,,,EXCHANGE_FILING,LIKELY_AUTHENTIC,,0.0,UNKNOWN,UNKNOWN,No explicit regulatory freshness or obsolescence keywords found in sample.,NO,,,,0.0,NO,0.5,0.5,HUMAN_REVIEW_REQUIRED,YES,,[],2026-09-18T12:27:50.892452+00:00,,,,NO
2b74e3ab1ff44d698dc24458d1c1de61_3,2b74e3ab1ff44d698dc24458d1c1de61,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/20240424_624053.html,https://static.sse.com.cn/404,,BROKEN_SOFT_404,,404 Not Found,,China,,,,,,EXCHANGE_FILING,LIKELY_AUTHENTIC,,0.0,UNKNOWN,UNKNOWN,No explicit regulatory freshness or obsolescence keywords found in sample.,NO,,,,0.0,NO,0.75,0.75,HUMAN_REVIEW_REQUIRED,NO,,"[""Browser detected Soft-404 error page: '404 Not Found' at https://static.sse.com.cn/404""]",2026-09-18T12:28:25.277663+00:00,,,,NO
2b74e3ab1ff44d698dc24458d1c1de61_4,2b74e3ab1ff44d698dc24458d1c1de61,https://www.greenfinanceplatform.org/policies-and-regulations/chinas-administrative-measures-legal-disclosure-enterprise-environmental,https://www.greenfinanceplatform.org/policies-and-regulations/chinas-administrative-measures-legal-disclosure-enterprise-environmental?__cf_chl_rt_tk=WW_me_NahJslk0ay7ns4huZa.9WhT2IyKjZbgZgvTJc-1789734700-1.0.1.1-9YeMImmutZ56GV4CbYoA7u2dmSmC7K4uAg8pCUpKNu0,403,CLOUDFLARE_CHALLENGE,text/html; charset=UTF-8,Just a moment...,,China,,,,,,COMMERCIAL_AGGREGATOR,UNCERTAIN,,0.0,CURRENT_IN_FORCE,LEGALLY_BINDING_IN_FORCE,Official primary legislation/regulation in force with no detected repeal or supersession.,YES,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk02/202112/t20211221_964720.html,,,0.0,NO,0.3,0.3,ACCESS_DENIED_REPLACEMENT_FOUND,YES,Updated outdated or non-official links to the official MEE Decree 24.,[],2026-09-18T12:31:39.421402+00:00,,,,NO
2b74e3ab1ff44d698dc24458d1c1de61_5,2b74e3ab1ff44d698dc24458d1c1de61,http://www.mee.gov.cn/gkml/hbb/bwj/202104/t20210427_837497.html,https://www.mee.gov.cn/404/index.shtml,200,BROKEN_SOFT_404,text/html,中华人民共和国生态环境部,,China,,,,,,COMMERCIAL_AGGREGATOR,UNCERTAIN,,0.0,UNKNOWN,UNKNOWN,No explicit regulatory freshness or obsolescence keywords found in sample.,YES,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk02/202112/t20211221_964720.html,,,0.0,NO,0.95,0.95,REPLACE,NO,Updated outdated or non-official links to the official MEE Decree 24.,"[""Redirected (healthy_redirect) to: https://www.mee.gov.cn/404/index.shtml"", ""Browser detected Soft-404 error page: '\u4e2d\u534e\u4eba\u6c11\u5171\u548c\u56fd\u751f\u6001\u73af\u5883\u90e8' at https://www.mee.gov.cn/404/index.shtml""]",2026-09-18T12:31:44.742322+00:00,,,,NO
2b74e3ab1ff44d698dc24458d1c1de61_6,2b74e3ab1ff44d698dc24458d1c1de61,"https://ieefa.org/resources/chinas-emissions-trading-system-ets-reforms-track-needs-robust-enforcement#:~:text=Evolving%20from%20pilot%20programs%20across,20%25%20of%20total%20global%20emissions.",https://ieefa.org/resources/chinas-emissions-trading-system-ets-reforms-track-needs-robust-enforcement,200,ACCESSIBLE,text/html; charset=UTF-8,"China’s emissions trading system (ETS) reforms: On track, but needs robust enforcement | IEEFA",,China,,PDF Regulation / Document,,September 2025,,COMMERCIAL_AGGREGATOR,UNCERTAIN,,0.0,UNKNOWN,UNKNOWN,No explicit regulatory freshness or obsolescence keywords found in sample.,YES,https://www.mee.gov.cn/ywgz/ydqhbh/qhgjyhxyyqyzcjgz/,,,0.0,NO,0.95,0.95,REPLACE_WITH_OFFICIAL,YES,Replaced NGO article with official MEE portal.,"[""Underlying PDF Discovered: https://www.mee.gov.cn/ywgz/ydqhbh/wsqtkz/202509/W020250927515319387445.pdf (%PDF- magic signature verified)"", ""Universal Date Extracted: September 2025 (Context: DOCUMENT_DATE, Normalized: 2025-09)""]",2026-09-18T12:31:58.280813+00:00,https://www.mee.gov.cn/ywgz/ydqhbh/wsqtkz/202509/W020250927515319387445.pdf,,VALID_PDF,YES
2b74e3ab1ff44d698dc24458d1c1de61_7,2b74e3ab1ff44d698dc24458d1c1de61,https://eur-lex.europa.eu/eli/dir/2022/2464/2025-04-17/eng,https://eur-lex.europa.eu/eli/dir/2022/2464/2025-04-17/eng,200,ACCESSIBLE,text/html; charset=UTF-8,EUR-Lex - 02022L2464-20250417 - EN - EUR-Lex,,European Union,,,,2025-04-17,,OFFICIAL_LEGISLATION,AUTHENTIC,,0.0,PARTIALLY_SUPERSEDED,PARTIALLY_SUPERSEDED,"Regulatory transition, amendment, or consultation status detected.",NO,,,,0.0,NO,0.8,0.8,ACCESSIBLE_BUT_REVIEW,YES,,"[""Browser successfully bypassed bot challenge (HTTP 202/403 resolved to 200): 'EUR-Lex - 02022L2464-20250417 - EN - EUR-Lex'"", ""Universal Date Extracted: 2025-04-17 (Context: DOCUMENT_DATE, Normalized: 2025-04-17)""]",2026-09-18T12:32:08.866054+00:00,,,,NO
2b74e3ab1ff44d698dc24458d1c1de61_8,2b74e3ab1ff44d698dc24458d1c1de61,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32023DC0012https://eur-lex.europa.eu/eli/reg_del/2023/2772/oj/eng,https://eur-lex.europa.eu/eli/reg_del/2023/2772/oj/eng,200,ACCESSIBLE,text/html; charset=UTF-8,Delegated regulation - EU - 2023/2772 - EN - EUR-Lex,,European Union,,,,26 June 2013,,OFFICIAL_LEGISLATION,AUTHENTIC,,0.0,PARTIALLY_SUPERSEDED,PARTIALLY_SUPERSEDED,"Regulatory transition, amendment, or consultation status detected.",NO,,,,0.0,NO,0.8,0.8,ACCESSIBLE_BUT_REVIEW,YES,,"[""Browser successfully bypassed bot challenge (HTTP 202/403 resolved to 200): 'Delegated regulation - EU - 2023/2772 - EN - EUR-Lex'"", ""Universal Date Extracted: 26\u00a0June 2013 (Context: ISSUE_DATE, Normalized: 2013-06-26)""]",2026-09-18T12:32:50.392538+00:00,,,,NO
2b74e3ab1ff44d698dc24458d1c1de61_9,2b74e3ab1ff44d698dc24458d1c1de61,http://ec.europa.eu/finance/docs/law/250730-recommendation-vsme_en.pdf,https://ec.europa.eu/finance/docs/law/250730-recommendation-vsme_en.pdf,200,ACCESSIBLE,application/pdf,EN EN - o n a v o l u n t a r y s u s,,European Union,,PDF Regulation / Document,,16 April 2014,,OFFICIAL_REGULATOR,AUTHENTIC,,0.0,CURRENT_IN_FORCE,LEGALLY_BINDING_IN_FORCE,Official primary legislation/regulation in force with no detected repeal or supersession.,NO,,,,0.0,NO,0.95,0.95,KEEP,NO,,"[""Redirected (healthy_redirect) to: https://ec.europa.eu/finance/docs/law/250730-recommendation-vsme_en.pdf"", ""Direct PDF Verified: https://ec.europa.eu/finance/docs/law/250730-recommendation-vsme_en.pdf (Magic Bytes %PDF- verified: True)"", ""Universal Date Extracted: 16 April 2014 (Context: ISSUE_DATE, Normalized: 2014-04-16)""]",2026-09-18T12:34:01.623985+00:00,https://ec.europa.eu/finance/docs/law/250730-recommendation-vsme_en.pdf,,VALID_PDF,YES
2b74e3ab1ff44d698dc24458d1c1de61_10,2b74e3ab1ff44d698dc24458d1c1de61,https://eur-lex.europa.eu/eli/reg/2019/2088,https://eur-lex.europa.eu/eli/reg/2019/2088,200,ACCESSIBLE,text/html; charset=UTF-8,EUR-Lex - 02019R2088-20260702 - EN - EUR-Lex,,European Union,,,,27 November 2019,,OFFICIAL_LEGISLATION,AUTHENTIC,,0.0,PARTIALLY_SUPERSEDED,PARTIALLY_SUPERSEDED,"Regulatory transition, amendment, or consultation status detected.",NO,,,,0.0,NO,0.8,0.8,ACCESSIBLE_BUT_REVIEW,YES,,"[""Browser successfully bypassed bot challenge (HTTP 202/403 resolved to 200): 'EUR-Lex - 02019R2088-20260702 - EN - EUR-Lex'"", ""Universal Date Extracted: 27\u00a0November 2019 (Context: ISSUE_DATE, Normalized: 2019-11-27)""]",2026-09-18T12:34:06.017916+00:00,,,,NO
